t_sec x_m y_m z_m vx_ms vy_ms vz_ms
21077.3051 -31495180.3296 -44703528.2357 -3912732.4227 -20.6854 -2214.2547 -190.8656
21137.3051 -31496284.6136 -44836189.0592 -3924167.3381 -16.1286 -2207.7761 -190.2985
21197.3051 -31497116.2981 -44968461.7555 -3935568.2775 -11.5987 -2201.3171 -189.7331
21257.3051 -31497676.9969 -45100347.4942 -3946935.3449 -7.0957 -2194.8775 -189.1694
21317.3050 -31497968.3081 -45231847.4352 -3958268.6433 -2.6191 -2188.4571 -188.6075
21377.3051 -31497991.8141 -45362962.7296 -3969568.2749 1.8312 -2182.0559 -188.0472
21437.3051 -31497749.0819 -45493694.5193 -3980834.3413 6.2555 -2175.6736 -187.4886
21497.3051 -31497241.6631 -45624043.9373 -3992066.9430 10.6541 -2169.3101 -186.9317
21557.3051 -31496471.0947 -45754012.1079 -4003266.1801 15.0272 -2162.9653 -186.3765
21617.3051 -31495438.8984 -45883600.1465 -4014432.1514 19.3751 -2156.6390 -185.8229
21677.3050 -31494146.5817 -46012809.1598 -4025564.9554 23.6980 -2150.3311 -185.2709
21737.3051 -31492595.6374 -46141640.2459 -4036664.6896 27.9961 -2144.0414 -184.7205
21797.3051 -31490787.5443 -46270094.4946 -4047731.4507 32.2696 -2137.7698 -184.1718
21857.3051 -31488723.7671 -46398172.9869 -4058765.3348 36.5189 -2131.5162 -183.6246
21917.3051 -31486405.7565 -46525876.7959 -4069766.4372 40.7441 -2125.2804 -183.0791
21977.3050 -31483834.9498 -46653206.9862 -4080734.8523 44.9455 -2119.0622 -182.5350
22037.3051 -31481012.7706 -46780164.6143 -4091670.6741 49.1232 -2112.8616 -181.9926
22097.3051 -31477940.6293 -46906750.7286 -4102573.9956 53.2776 -2106.6784 -181.4517
22157.3051 -31474619.9231 -47032966.3694 -4113444.9092 57.4088 -2100.5125 -180.9123
22217.3051 -31471052.0365 -47158812.5692 -4124283.5065 61.5170 -2094.3637 -180.3745
22277.3051 -31467238.3407 -47284290.3527 -4135089.8785 65.6024 -2088.2319 -179.8382
22337.3051 -31463180.1949 -47409400.7366 -4145864.1155 69.6654 -2082.1170 -179.3033
22397.3051 -31458878.9452 -47534144.7300 -4156606.3070 73.7059 -2076.0189 -178.7700
22457.3051 -31454335.9259 -47658523.3345 -4167316.5420 77.7244 -2069.9374 -178.2381
22517.3050 -31449552.4589 -47782537.5440 -4177994.9086 81.7209 -2063.8724 -177.7077
22577.3051 -31444529.8542 -47906188.3449 -4188641.4945 85.6957 -2057.8237 -177.1787
